Aulnat-Aéroport;784000;005.0
Aulnay-sous-Bois;229000;014.1
Aulnay-sous-Bois;76000;014.2
Aulnay-sous-Bois;958000;007.7
Aulnoye-Aymeries;242000;215.4
Aumale;325000;136.1
Aumont-Aubrac;722000;641.9
Aunay-Tréon;409000;034.8
Auneau;431302;065.4
Auneau;550000;076.0
Auneau;555000;022.4
Auray;470000;584.4
Aurec;798000;113.4
Aurillac;720000;302.6
Auterive;672000;033.6
Autet;847000;037.7
Autrey-lès-Gray;838000;343.2
Autun;761000;014.8
Auvers-sur-Oise;329000;033.8
Auxerre-St-Gervais;753000;174.4
Auxonne;850000;346.7
Auxy-Juranville;745000;101.5
Avallon;755000;228.6
Avenay;74000;148.2
Avenue-du-Président-Kennedy-Radio-France;962000;003.6
Avenue-Foch;962000;005.2
Avenue-Henri-Martin;962000;004.3
Avesnelles;267000;094.9
Avesnes;267000;093.0
Avignon-Centre;824306;004.2
Avignon-Centre;830000;741.4
Avignonet;640000;296.6
Avignon-Fontcouverte;925000;002.2
Avignon-TGV;752000;625.6
Avion;301000;208.9
Avord;690000;254.4
Avoudrey;872000;445.1
Avranches;415000;093.2
Avrechy;272000;072.3
Avrigny;317000;039.8
Ax-les-Thermes;672000;123.2
Ay;74000;144.8
Ayron-Latillé;524000;013.0
Aytré;538000;135.8
Aytré-Plage;530000;182.0
Azay-le-Rideau;525000;224.8
Azay-sur-Cher;593000;296.7
Azerailles;67000;403.1
Babinière;519000;435.5
Baccarat;67000;409.7
Bacouël;321000;012.7
Badan;750000;540.0
Badan;775311;134.7
Bagnac;720000;251.2
Bagneaux-sur-Loing;750000;090.5
Bagnols-Chadenet;723000;658.2
Baigts-de-Béarn;650000;263.6
Baillargues;810000;064.5
Bailleau-le-Pin;500000;102.5
Bailleul;295000;031.8
Bailleul-Sir-Berthoult;301000;200.0
Bailleul-sur-Thérain;317000;009.0
Bains-les-Bains;42000;080.7
Bainville-sur-Madon;40000;015.4
Baisieux;269000;012.5
Balagny-St-Épin;316000;062.4
Balbigny;750000;452.1
Baleycourt;85000;269.5
Ballan;525000;240.7
Ballancourt;745000;046.8
Balsièges-Bourg;723000;637.1
Banassac-La Canourgue;722000;605.6
Bandol;930000;050.0
Bannalec;470000;653.8
Bantzenheim;123000;025.9
Bantzenheim;124000;014.3
Banyuls-sur-Mer;677000;502.3
Baraqueville-Carcenac-Peyralès;736000;473.5
Barbentane-Rognonas;830000;747.3
Barentin-Embranchement;340000;156.1
Barentin-Embranchement;351000;156.1
Barenton-Bugny;229000;147.1
Barjac;723000;632.7
Bar-le-Duc;70000;253.5
Baroncourt;218000;000.0
Baroncourt;95000;022.1
Barr;111000;017.3
Barsac;640000;033.7
Bar-sur-Aube;1000;220.0
Bar-sur-Seine;838000;198.8
Bartenheim;115000;128.7
Base Aérienne;600000;213.5
Bas-Évette;1000;435.3
Bas-Évette;55000;435.3
Bas-Monistrol;798000;102.5
Basse-Ham;178000;005.1
